C1,C2,C3,C4,C5,C6,Tarih
Gergin,Çalışma,Meslektaş,Evet,Bilmiyorum,Hayır,Tue Feb 09 2021 12:26:54 GMT+0300 (+03)
Gergin,Çalışma,Meslektaş,Evet,Bilmiyorum,Hayır,Tue Feb 09 2021 14:05:47 GMT+0300 (+03)
Endişeli,Çalışma,Meslektaş,Evet,Bilmiyorum,Hayır,Tue Feb 09 2021 16:03:51 GMT+0300 (+03)
İyi,Diğer,Aile Üyeleri,Hayır,Evet,Hayır,Tue Feb 09 2021 18:16:08 GMT+0300 (+03)
İyi,Temizlik,Aile Üyeleri,Hayır,Hayır,Hayır,Tue Feb 09 2021 20:26:14 GMT+0300 (+03)
İyi,Diğer,Kimse yok,Hayır,Evet,Hayır,Wed Feb 10 2021 10:10:40 GMT+0300 (+03)
Rahat,Çalışma,Meslektaş,Hayır,Hayır,Hayır,Wed Feb 10 2021 12:15:48 GMT+0300 (+03)
Gergin,Çalışma,Meslektaş,Hayır,Hayır,Hayır,Wed Feb 10 2021 14:20:41 GMT+0300 (+03)
İyi,İş,Meslektaş,Hayır,Evet,Hayır,Wed Feb 10 2021 16:22:08 GMT+0300 (+03)
İyi,Dinlenme,Aile Üyeleri,Hayır,Hayır,Hayır,Wed Feb 10 2021 18:33:32 GMT+0300 (+03)
İyi,Dinlenme,Aile Üyeleri,Hayır,Hayır,Hayır,Wed Feb 10 2021 20:18:21 GMT+0300 (+03)
İyi,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Evet,Thu Feb 11 2021 10:12:44 GMT+0300 (+03)
İyi,Temizlik,Aile Üyeleri,Hayır,Hayır,Evet,Thu Feb 11 2021 12:21:43 GMT+0300 (+03)
İyi,Temizlik,Aile Üyeleri,Hayır,Hayır,Evet,Thu Feb 11 2021 14:07:06 GMT+0300 (+03)
İyi,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Evet,Thu Feb 11 2021 16:22:06 GMT+0300 (+03)
İyi,Dinlenme,Aile Üyeleri,Hayır,Hayır,Hayır,Thu Feb 11 2021 18:04:06 GMT+0300 (+03)
İyi,Dinlenme,Aile Üyeleri,Hayır,Hayır,Hayır,Thu Feb 11 2021 20:23:21 GMT+0300 (+03)
İyi,Yeme / İçme,Aile Üyeleri,Hayır,Bilmiyorum,Evet,Fri Feb 12 2021 10:23:55 GMT+0300 (+03)
İyi,Temizlik,Aile Üyeleri,Hayır,Hayır,Evet,Fri Feb 12 2021 12:30:31 GMT+0300 (+03)
Mutlu,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Evet,Fri Feb 12 2021 14:36:12 GMT+0300 (+03)
Mutlu,Dinlenme,Evcil Dostlar,Hayır,Hayır,Evet,Fri Feb 12 2021 16:10:53 GMT+0300 (+03)
İyi,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Evet,Fri Feb 12 2021 18:02:14 GMT+0300 (+03)
İyi,Video İzlemek,Aile Üyeleri,Hayır,Hayır,Hayır,Fri Feb 12 2021 20:03:44 GMT+0300 (+03)
Rahat,Dinlenme,Aile Üyeleri,Hayır,Hayır,Hayır,Sat Feb 13 2021 10:16:32 GMT+0300 (+03)
Hasta,Dinlenme,Aile Üyeleri,Hayır,Hayır,Hayır,Sat Feb 13 2021 12:32:27 GMT+0300 (+03)
Hasta,Dinlenme,Aile Üyeleri,Hayır,Hayır,Hayır,Sat Feb 13 2021 14:06:20 GMT+0300 (+03)
Heyecanlı,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Hayır,Sat Feb 13 2021 16:50:48 GMT+0300 (+03)
Heyecanlı,Dinlenme,Aile Üyeleri,Hayır,Hayır,Hayır,Sat Feb 13 2021 18:01:34 GMT+0300 (+03)
Rahat,Dinlenme,Aile Üyeleri,Hayır,Hayır,Hayır,Sat Feb 13 2021 20:03:54 GMT+0300 (+03)
İyi,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Hayır,Sun Feb 14 2021 10:19:14 GMT+0300 (+03)
İyi,Temizlik,Aile Üyeleri,Hayır,Hayır,Bilmiyorum,Sun Feb 14 2021 12:06:40 GMT+0300 (+03)
Heyecanlı,Dinlenme,Aile Üyeleri,Hayır,Hayır,Bilmiyorum,Sun Feb 14 2021 14:07:50 GMT+0300 (+03)
