C1,C2,C3,C4,C5,C6,Tarih
Gergin,İş,Kimse yok,Evet,Evet,Evet,Sat Nov 13 2021 14:00:16 GMT+0300 (+03)
Mutlu,Yeme / İçme,Partner,Hayır,Hayır,Evet,Sat Nov 13 2021 16:03:30 GMT+0300 (+03)
Mutlu,Diğer,Partner,Hayır,Hayır,Evet,Sat Nov 13 2021 18:09:38 GMT+0300 (+03)
Mutlu,Yeme / İçme,Partner,Hayır,Hayır,Evet,Sun Nov 14 2021 10:16:41 GMT+0300 (+03)
Mutsuz,Yeme / İçme,Arkadaşlar,Hayır,Hayır,Evet,Sun Nov 14 2021 12:21:53 GMT+0300 (+03)
Mutlu,Sohbet,Arkadaşlar,Hayır,Hayır,Evet,Sun Nov 14 2021 14:14:27 GMT+0300 (+03)
Mutlu,Diğer,Yabancılar,Hayır,Evet,Evet,Sun Nov 14 2021 16:02:59 GMT+0300 (+03)
Enerjik,Çalışma,Kimse yok,Hayır,Hayır,Evet,Sun Nov 14 2021 18:03:21 GMT+0300 (+03)
Endişeli,Çalışma,Kimse yok,Evet,Hayır,Evet,Sun Nov 14 2021 20:03:25 GMT+0300 (+03)
Gergin,Çalışma,Kimse yok,Hayır,Hayır,Evet,Mon Nov 15 2021 10:06:16 GMT+0300 (+03)
Gergin,Çalışma,Kimse yok,Hayır,Hayır,Evet,Mon Nov 15 2021 14:02:50 GMT+0300 (+03)
Yorgun,Dinlenme,Aile Üyeleri,Hayır,Evet,Hayır,Mon Nov 15 2021 20:15:32 GMT+0300 (+03)
Enerjik,İş,Kimse yok,Hayır,Hayır,Evet,Tue Nov 16 2021 10:02:49 GMT+0300 (+03)
Mutlu,Yeme / İçme,Kimse yok,Hayır,Hayır,Evet,Tue Nov 16 2021 12:31:31 GMT+0300 (+03)
İyi,İş,Kimse yok,Hayır,Hayır,Evet,Tue Nov 16 2021 14:04:22 GMT+0300 (+03)
İyi,İş,Kimse yok,Hayır,Hayır,Evet,Tue Nov 16 2021 16:04:03 GMT+0300 (+03)
Kızgın,Diğer,Kimse yok,Evet,Evet,Bilmiyorum,Tue Nov 16 2021 18:21:55 GMT+0300 (+03)
Gergin,Çalışma,Aile Üyeleri,Hayır,Evet,Bilmiyorum,Tue Nov 16 2021 20:05:08 GMT+0300 (+03)
